id,name,type
3047,丝瓜络,中药
3048,松节,中药
3049,苏子,中药
3050,锁阳,中药
3051,桃仁,中药
3052,桃仁丹皮,中药
3053,桃仁泥,中药
3054,天冬,中药
3055,天花粉,中药
3056,天麻,中药
3057,天竺黄,中药
3058,田七,中药
3059,通草,中药
3060,透骨草,中药
3061,土贝母,中药
3062,菟铭子,中药
3063,菟丝子,中药
3064,王不留行,中药
3065,威灵仙,中药
3066,煨诃子肉,中药
3067,煨肉豆葱,中药
3068,乌梢蛇,中药
3069,乌蛇,中药
3070,乌犀角,中药
3071,乌药,中药
3072,五味子,中药
3073,细生地黄,中药
3074,细辛,中药
3075,夏枯草,中药
3076,夏枯单,中药
3077,仙茅,中药
3078,鲜凤仙花,中药
3079,鲜生地黄,中药
3080,鲜首乌,中药
3081,鲜竹茹,中药
3082,鲜竹叶,中药
3083,香附,中药
3084,香墨,中药
3085,象贝母,中药
3086,小黑豆,中药
3087,小蓟,中药
3088,薤白,中药
3089,心茯苓,中药
3090,杏仁,中药
3091,雄黄,中药
3092,续断,中药
3093,玄参,中药
3094,玄鑫,中药
3095,延胡索,中药
3096,炎甘草,中药
3097,样泻,中药
3098,野菊花,中药
3099,夜交藤,中药
3100,益母草,中药
3101,益元散,中药
3102,薏苡仁,中药
3103,银花,中药
3104,银杏,中药
3105,淫羊藿,中药
3106,淫羊蛮,中药
3107,郁金,中药
3108,远志,中药
3109,远志肉,中药
3110,皂角刺,中药
3111,泽兰叶,中药
3112,泽泻,中药
3113,泽汚,中药
3114,浙贝母,中药
3115,知母,中药
3116,栀子,中药
3117,枳壳,中药
3118,枳实,中药
3119,制半夏,中药
3120,制南星,中药
3121,制山茱萸,中药
3122,制菟丝子,中药
3123,制香附,中药
3124,炙穿山甲,中药
3125,炙甘草,中药
3126,炙黄芪,中药
3127,炙僵蚕,中药
3128,炙没药,中药
3129,炙乳香,中药
3130,炙远志,中药
3131,炙枳实,中药
3132,朱砂,中药
3133,硃茯神,中药
3134,猪苓,中药
3135,竹茹,中药
3136,竹叶,中药
3137,竹叶心,中药
3138,紫背天葵子,中药
3139,紫花地,中药
3140,紫花地丁,中药
3141,紫苏,中药
3142,紫菀,中药
3143,棕榈皮,中药
3144,吴茱萸,中药
2767,阿魏,中药
2768,安息香,中药
2769,巴戟天,中药
2770,白扁豆,中药
2771,白茯苓,中药
2772,白芥子,中药
2773,白酒,中药
2774,白蔻仁,中药
2775,白茅根,中药
2776,白前,中药
2777,白芍,中药
2778,白术,中药
2779,白芷,中药
2780,白兹仁,中药
2781,板蓝根,中药
2782,半夏,中药
2783,半夏曲,中药
2784,薄荷,中药
2785,薄荷叶,中药
2786,北沙参,中药
2787,贝母,中药
2788,荜乌,中药
2789,萆蘚,中药
2790,萆薢,中药
2791,蓖麻子,中药
2792,滨梅,中药
2793,槟榔,中药
2794,摈榔,中药
2795,冰片,中药
2796,补骨脂,中药
2797,苍耳子,中药
2798,苍木,中药
2799,苍术,中药
2800,草果仁,中药
2801,柴胡,中药
2802,柴胡允,中药
2803,蝉蜕,中药
2804,产硝,中药
2805,菖蒲,中药
2806,常山,中药
2807,炒阿胶,中药
2808,炒白芍,中药
2809,炒陈皮,中药
2810,炒川断,中药
2811,炒穿山甲,中药
2812,炒地榆,中药
2813,炒杜仲,中药
2814,炒甘草,中药
2815,炒黄柏,中药
2816,炒黄芩,中药
2817,炒荆芥,中药
2818,炒桔梗,中药
2819,炒麦芽,中药
2820,炒山药,中药
2821,炒细茶,中药
2822,炒皂角剌,中药
2823,炒栀子,中药
2824,炒枳壳,中药
2825,炒枳实,中药
2826,车前子,中药
2827,沉香,中药
2828,陈皮,中药
2829,赤白芍,中药
2830,赤茯苓,中药
2831,赤茯芩,中药
2832,赤芍,中药
2833,赤芍药,中药
2834,赤石脂,中药
2835,赤小豆,中药
2836,茺蔚子,中药
2837,杵头糠,中药
2838,川贝母,中药
2839,川黄连,中药
2840,川楝子,中药
2841,川乌,中药
2842,川芎,中药
2843,穿山甲,中药
2844,磁石,中药
2845,大腹皮,中药
2846,大黄,中药
2847,大黄各谷精草,中药
2848,大蓟,中药
2849,大枣,中药
2850,丹参,中药
2851,丹皮,中药
2852,胆南星,中药
2853,淡豆豉,中药
2854,淡竹叶,中药
2855,当归,中药
2856,当归尾,中药
2857,灯心草,中药
2858,地骨皮,中药
2859,地龙,中药
2860,冬瓜子,中药
2861,冬桑叶,中药
2862,胨皮,中药
2863,豆鼓,中药
2864,独活,中药
2865,杜仲,中药
2866,煅龙骨,中药
2867,煅牡蛎,中药
2868,莪术,中药
2869,扼子,中药
2870,防风,中药
2871,风化朴硝,中药
2872,蜂蜜,中药
2873,甶术,中药
2874,甶芷,中药
2875,茯苓,中药
2876,茯神,中药
2877,附子,中药
2878,甘荜,中药
2879,甘草,中药
2880,干地黄,中药
2881,干河豚眼,中药
2882,干姜,中药
2883,藁本,中药
2884,葛根,中药
2885,葛根心,中药
2886,梗米,中药
2887,钩藤,中药
2888,狗脊,中药
2889,枸杞,中药
2890,枸杞子,中药
2891,瓜蒌,中药
2892,官桂,中药
2893,贯众,中药
2894,广陈皮,中药
2895,龟甲,中药
2896,桂心,中药
2897,桂枝,中药
2898,海风藤,中药
2899,海浮石,中药
2900,號珀,中药
2901,荷梗,中药
2902,荷叶,中药
2903,黑栀子,中药
2904,红花,中药
2905,红枣,中药
2906,厚朴,中药
2907,胡黄连,中药
2908,胡麻仁,中药
2909,琥珀,中药
2910,滑石,中药
2911,化橘红,中药
2912,淮山药,中药
2913,黄柏,中药
2914,黄岑,中药
2915,黄连,中药
2916,黄芪,中药
2917,黄芩,中药
2918,黄芩川牛膝,中药
2919,藿香,中药
2920,藿香叶,中药
2921,鸡肫皮,中药
2922,鸡子黄,中药
2923,姜半夏,中药
2924,姜炒厚朴,中药
2925,僵蚕,中药
2926,椒目,中药
2927,焦栀牡丹皮,中药
2928,芥子,中药
2929,金锒花,中药
2930,金银花,中药
2931,荆芥,中药
2932,荆芥穗,中药
2933,粳米,中药
2934,酒炒黄岑,中药
2935,椐子,中药
2936,桔梗,中药
2937,菊花,中药
2938,橘皮,中药
2939,蔻仁,中药
2940,苦参,中药
2941,苦杏仁,中药
2942,款冬花,中药
2943,栝楼根,中药
2944,老姜,中药
2945,梨皮,中药
2946,梨汁,中药
2947,连翘,中药
2948,莲子心,中药
2949,羚羊角,中药
2950,龙齿,中药
2951,龙骨,中药
2952,龙眼肉,中药
2953,芦根,中药
2954,芦荟,中药
2955,鹿角胶,中药
2956,络石藤,中药
2957,麻黄,中药
2958,麻仁,中药
2959,马勃,中药
2960,麦冬,中药
2961,麦冬生扁豆,中药
2962,麦门冬,中药
2963,蔓荆子,中药
2964,芒硝,中药
2965,猫爪草,中药
2966,茅根,中药
2967,没药,中药
2968,密蒙花,中药
2969,蜜炙罂粟壳,中药
2970,牡丹皮,中药
2971,牡蛎,中药
2972,木瓜,中药
2973,木通,中药
2974,木通处,中药
2975,木香,中药
2976,木贼草,中药
