id,name,type
669,实脾散,方剂
670,舒颈汤,方剂
671,疏凿饮子,方剂
672,顺经汤,方剂
673,顺气导痰汤,方剂
674,顺清凉饮子,方剂
675,四海软坚汤,方剂
676,四君子汤,方剂
677,四妙汤,方剂
678,四妙勇安汤合五神汤,方剂
679,四逆加人参汤,方剂
680,四逆散,方剂
681,四物汤,方剂
682,四物退翳汤,方剂
683,苏叶黄连汤,方剂
684,桃红四物汤,方剂
685,桃红饮加味,方剂
686,天麻钩藤饮,方剂
687,调肝汤,方剂
688,调营饮,方剂
689,调元散,方剂
690,通脉四逆汤,方剂
691,通脾泻胃汤,方剂
692,通窍汤,方剂
693,通幽汤,方剂
694,透脓散,方剂
695,托里消毒散,方剂
696,温胆汤,方剂
697,温肺止流丹,方剂
698,温经汤,方剂
699,温下清上汤,方剂
700,乌头汤,方剂
701,乌药汤,方剂
702,无比山药丸,方剂
703,吴茱萸汤,方剂
704,五虎汤,方剂
705,五苓散,方剂
706,五神汤合萆薢渗湿汤,方剂
707,五味消毒饮,方剂
708,五味消毒饮合黄连解毒汤,方剂
709,五味消毒饮合黄连解毒汤合清营汤,方剂
710,五汁安中饮,方剂
711,犀地清络饮,方剂
712,犀角地黄汤,方剂
713,犀角地黄汤合黄连解毒汤,方剂
714,犀角地黄汤合黄连解毒汤合三妙丸,方剂
715,仙方活命饮,方剂
716,香贝养荣汤,方剂
717,香附旋覆花汤,方剂
718,逍遥散,方剂
719,消风散,方剂
720,消疳理脾汤,方剂
721,消渴方,方剂
722,消肿解毒汤,方剂
723,小半夏加茯苓汤,方剂
724,小蓟饮子,方剂
725,小青龙汤,方剂
726,泻白散,方剂
727,泻白散合五味消毒饮,方剂
728,泻肺汤,方剂
729,泻肺饮,方剂
730,泻肝散,方剂
731,泻脑汤,方剂
732,泻心汤,方剂
733,泻心汤合十灰散,方剂
734,新加香薷饮,方剂
735,新制柴连汤,方剂
736,宣白承气汤,方剂
737,血府逐淤汤,方剂
738,血府逐瘀汤,方剂
739,阳和汤,方剂
740,养血定风汤,方剂
741,养血润肤饮,方剂
742,养阴开胃冲剂,方剂
743,养阴清费汤,方剂
744,养正通幽汤,方剂
745,一贯煎,方剂
746,异功散,方剂
747,益气聪明汤,方剂
748,薏苡仁汤,方剂
749,茵陈篙汤,方剂
750,茵陈煎剂,方剂
751,茵陈术附汤,方剂
752,茵陈五苓散,方剂
753,银翘散,方剂
754,右归饮,方剂
755,玉女煎,方剂
756,玉屏风散,方剂
757,育蒿鳖甲汤,方剂
758,毓麟珠,方剂
759,远志丸,方剂
760,赞育丹,方剂
761,增液汤,方剂
762,沾暑益气汤,方剂
763,真人养脏汤,方剂
764,真武汤,方剂
765,正容汤,方剂
766,知柏地黄汤,方剂
767,知柏地黄丸,方剂
768,知柏地黄丸合二至丸,方剂
769,止痉散,方剂
770,止泪补肝散,方剂
771,止嗽散合三拗汤,方剂
772,指迷茯苓丸,方剂
773,至宝丹,方剂
774,治瘊方,方剂
775,治疣方,方剂
776,中满分消九合茵陈蒿汤,方剂
777,竹叶黄芪汤,方剂
778,滋肾生肝饮,方剂
779,滋阴退翳汤,方剂
780,左归饮,方剂
781,左金丸,方剂
3145,阿艾丸,方剂
3146,阿胶鳖甲汤,方剂
3147,阿胶地黄汤,方剂
3148,阿胶地黄丸,方剂
3149,阿胶甘草梨膏汤,方剂
3150,阿胶黄连汤,方剂
3151,阿胶黄连丸,方剂
3152,阿胶黄芩汤,方剂
3153,阿胶煎,方剂
3154,阿胶麻仁汤,方剂
3155,阿胶散,方剂
