id,name,type
241,肾虚肝亢证,证候
242,肾虚寒凝证,证候
243,肾虚髓亏证,证候
244,肾阳亏虚证,证候
245,肾阴亏损证,证候
246,肾阴亏虚证,证候
247,湿毒蕴肤证,证候
248,湿毒蕴结证,证候
249,湿火炽盛证,证候
250,湿困脾胃证,证候
251,湿热毒结证,证候
252,湿热毒聚证,证候
253,湿热毒盛证,证候
254,湿热毒蕴证,证候
255,湿热毒蘊证,证候
256,湿热浸淫证,证候
257,湿热内蕴证,证候
258,湿热内蘊证,证候
259,湿热下注证,证候
260,湿热泻,证候
261,湿热血瘀证,证候
262,湿热壅盛证,证候
263,湿热壅滞证,证候
264,湿热瘀阻证,证候
265,湿热蕴伏证,证候
266,湿热蕴结证,证候
267,湿热蕴蒸证,证候
268,湿热藴结证,证候
269,湿热蘊结证,证候
270,湿热蘊脾证,证候
271,湿郁卫气证,证候
272,湿浊上泛证,证候
273,食滞胃肠证,证候
274,暑风证,证候
275,暑厥证,证候
276,暑热浸淫证,证候
277,暑热内郁证,证候
278,暑伤肺胃证,证候
279,暑湿交阻证,证候
280,暑湿内蕴证,证候
281,暑湿热蕴证,证候
282,暑湿袭表证,证候
283,水气凌心证,证候
284,水湿浸渍证,证候
285,胎火蕴毒证,证候
286,痰虫上扰证,证候
287,痰火闭窍证,证候
288,痰火内扰证,证候
289,痰火扰神证,证候
290,痰火郁结证,证候
291,痰结毒滞证,证候
292,痰气互结证,证候
293,痰气郁结证,证候
294,痰气阻膈证,证候
295,痰热闭肺证,证候
296,痰热搏结证,证候
297,痰热腑实证,证候
298,痰热内扰证,证候
299,痰热壅肺证,证候
300,痰热蕴结证,证候
301,痰湿结聚证,证候
302,痰湿结滞证,证候
303,痰湿蒙窍证,证候
304,痰湿内阻证,证候
305,痰湿凝结证,证候
306,痰湿蕴肺证,证候
307,痰湿阻络证,证候
308,痰湿阻滞证,证候
309,痰饮停胃证,证候
310,痰淤互结证,证候
311,痰瘀搏结证,证候
312,痰瘀互结证,证候
313,痰浊积聚证,证候
314,痰浊内蒙证,证候
315,痰浊内阻证,证候
316,痰浊凝结证,证候
317,痰浊上蒙证,证候
318,痰浊中阻证,证候
319,痰浊阻滞证,证候
320,体虚毒恋证,证候
321,痛痹证,证候
322,外寒肺热证,证候
323,外伤目络证,证候
324,外伤损络证,证候
325,外伤瘀滞证,证候
326,外邪犯胃证,证候
327,亡阳征,证候
328,亡阴证,证候
329,卫气同病证,证候
330,胃肠积热证,证候
331,胃肠湿热证,证候
332,胃火炽盛证,证候
333,胃热炽盛证,证候
334,胃热炊盛证,证候
335,胃热识盛证,证候
336,胃阴亏虚证,证候
337,胃燥津伤证,证候
338,温毒袭表证,证候
339,下焦湿热证,证候
340,下焦瘀滞证,证候
341,先天不足证,证候
342,邪窜肝经证,证候
343,邪侵肺卫证,证候
344,邪入气营证,证候
345,邪陷正脱证,证候
346,邪郁肺卫证,证候
347,邪郁少阳证,证候
348,心火炽盛证,证候
349,心火上炎证,证候
350,心脾积热证,证候
351,心脾两虚证,证候
352,心脾气虚证,证候
353,心气虚弱证,证候
354,心肾阳虚证,证候
355,心肾阴虚证,证候
356,心虚胆怯证,证候
357,心血瘀阻证,证候
358,心阳不足证,证候
359,心阳虚弱证,证候
360,虚痹证,证候
361,虚火上浮证,证候
362,虚火上炎证,证候
363,虚实夹杂证,证候
364,虚哮证,证候
365,血寒凝滞证,证候
366,血脉瘀阻证,证候
367,血热肠燥证,证候
368,血热内扰证,证候
369,血热伤络证,证候
370,血热瘀结证,证候
371,血热瘀滞证,证候
372,血虚风动证,证候
373,血虚风燥证,证候
374,血虚风躁证,证候
375,血虚津亏证,证候
376,血虚生风证,证候
377,血瘀风燥证,证候
378,血燥失养证,证候
379,阳明腑实证,证候
380,阳暑证,证候
381,阳虚寒凝证,证候
382,阳虚水泛证,证候
383,阳虚痰凝证,证候
384,疫毒内闭证,证候
385,疫毒侵袭证,证候
386,阴津不足证,证候
387,阴暑证,证候
388,阴虚肠燥证,证候
389,阴虚毒恋证,证候
390,阴虚肺热证,证候
391,阴虚肺燥证,证候
392,阴虚风动证,证候
393,阴虚火炽证,证候
394,阴虚火旺证,证候
395,阴虚疾热证,证候
396,阴虚津亏证,证候
397,阴虚内热证,证候
398,阴虚热郁证,证候
399,阴虚湿热证,证候
400,阴虚邪恋证,证候
401,阴虚阳浮证,证候
402,阴液亏虚证,证候
403,饮停胸胁证,证候
404,饮邪上泛证,证候
405,营卫不和证,证候
406,忧郁伤神证,证候
407,淤血阻络证,证候
408,淤血阻滞证,证候
409,瘀热内郁证,证候
410,瘀热入络证,证候
411,瘀热阻滞证,证候
412,瘀血化热证,证候
413,瘀血内滞证,证候
414,瘀血凝滞证,证候
415,瘀血阻膈证,证候
416,瘀滞胞宫证,证候
417,瘀滞化热证,证候
418,瘀滞肌肤证,证候
419,瘀滞证,证候
420,瘀浊阻塞证,证候
421,瘀阻脉络证,证候
422,瘀阻脑络证,证候
423,瘀阻胃络证,证候
424,余毒攻窜证,证候
425,余毒凝滞证,证候
426,余毒未清证,证候
427,余热未清证,证候
428,余邪未尽证,证候
429,元气衰败证,证候
430,蕴毒腐溃证,证候
431,燥热伤肺证,证候
432,燥热外犯证,证候
433,燥邪伤肺证,证候
434,着痹证,证候
435,疹后阴伤证,证候
436,正虚毒炽证,证候
437,正虚毒恋证,证候
438,正虚留邪证,证候
439,正虚邪恋证,证候
440,正虚邪留证,证候
441,正虚邪实证,证候
442,中焦湿热证,证候
