气滞痰凝证,气郁痰凝证,气滞痰阻证,气郁痰阻证
气滞湿阻证,气滞湿困证
气郁化火证,气滞化火证,气郁化热证,气滞化热证
气逆证,气机上逆证
气闭证,气机壅闭证,气机闭塞证
血瘀证,瘀血内阻证,瘀血阻滞证
血瘀气滞证,瘀滞证
血瘀化热证,瘀滞化热证,瘀热内郁证
风毒证,风毒炽盛证
火毒证,热毒证,火毒炽盛证,热毒炽盛证,热毒蕴结证,热毒壅滞证
热毒入营证,火毒入营证,热毒陷营证,火毒陷营证
热毒内陷证,火毒内陷证,热毒内闭证,火毒内闭证
湿毒证,湿毒蕴结证
虫毒证,虫毒结聚证
疫毒证,疫毒侵袭证
脓毒证,脓毒蕴积证
胎毒证,胎毒蕴结证,胎毒内蕴证
阴毒证,寒毒证
食积证,乳食内积证
气虚痰结证,气虚痰阻证
气虚湿困证,气虚湿阻证
气虚血瘀证,气虚血凝证
血虚挟痰证,血虚痰阻证
阴虚内热证,虚热证
阴虚火旺证,阴虚火炽证,阴虚火炎证,虚火证
阴虚阳亢证,虚阳偏亢证,虚阳偏旺证
阴虚热郁证,阴虚郁热证
阴虚血瘀证,阴虚瘀热证
阴虚湿阻证,阴虚湿困证
阴虚痰湿证,阴虚痰浊证,阴虚痰阻证
阳虚湿困证,阳虚湿阻证
阳虚饮停证,寒饮内停证
阳虚水泛证,阳虚水停证
阳虚痰凝证,阳虚痰阻证
正虚邪恋证,正虚邪留证
气虚邪恋证,气虚邪留证
气虚毒滞证,气虚毒恋证
阴虚邪恋证,阴虚毒恋证
血虚邪恋证,血虚毒恋证
阳虚邪恋证,阳虚毒恋证
风热血燥证,风热化燥证
寒凝阳虚证,阴盛阳虚证,阴盛阳衰证
血热伤阴证,血热阴虚证
火热伤阴证,热盛伤阴证
热盛伤津证,热盛耗液证
痰热阴虚证,痰热伤阴证
血瘀风燥证,血瘀风盛证
热毒伤阴证,火毒伤阴证
心气虚证,心气亏虚证
心阳虚证,心阳亏虚证
心血虚证,心血亏虚证
心阴虚证,心阴亏虚证
心阴虚火旺证,心阴虚阳亢证
心血瘀阻证,心血瘀滞证,心脉瘀阻证,心脉痹阻证
心脉气滞证,气滞心脉证
心火炽盛证,心火亢盛证,心经积热证
热闭心包证,热闭心神证,热陷心包证,热入心包证
热扰心神证,火扰心神证
暑热闭神证,暑入心包证,暑闭心包证
